,Year,Countries,Movies Produced
58,1986,"['United Kingdom', 'Canada', 'Australia', 'United States', 'Japan']","[7, 2, 1, 26, 1]"
59,1987,"['United Kingdom', 'United States', 'Italy', 'France', 'China']","[7, 29, 2, 2, 1]"
60,1988,"['Japan', 'United States', 'Canada', 'Australia', 'United Kingdom', 'Ireland']","[1, 35, 3, 1, 1, 1]"
61,1989,"['United Kingdom', 'United States', 'Australia']","[3, 33, 1]"
62,1990,"['United States', 'United Kingdom', 'Australia', 'Norway', 'Sweden', 'Italy', 'Mexico']","[35, 2, 1, 2, 1, 2, 1]"
63,1991,"['United States', 'Switzerland', 'France', 'Fiji', 'Hong Kong', 'Luxembourg']","[34, 1, 3, 1, 2, 1]"
64,1992,"['United Kingdom', 'Mexico', 'Australia', 'United States', 'Japan', 'France', 'Ireland']","[8, 1, 1, 37, 4, 1, 1]"
65,1993,"['United States', 'Italy', 'France', 'Japan', 'Chile', 'United Kingdom', 'Hong Kong', 'New Zealand', 'Australia']","[53, 1, 6, 2, 1, 6, 1, 1, 1]"
66,1994,"['Japan', 'United States', 'Mexico', 'Canada', 'United Kingdom', 'New Zealand', 'France', 'Spain', 'Germany', 'Hong Kong', 'South Africa', 'Peru']","[3, 60, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1]"
67,1995,"['France', 'Australia', 'United States', 'United Kingdom', 'Austria', 'Switzerland', 'Germany', 'Italy', 'Hong Kong', 'Japan']","[5, 1, 79, 6, 1, 1, 1, 1, 1, 1]"
68,1996,"['United Kingdom', 'Canada', 'Hungary', 'United States', 'India', 'Japan', 'Germany', 'Australia', 'Ireland', 'Philippines', 'Czech Republic', 'France', 'Netherlands']","[9, 2, 1, 100, 1, 1, 4, 3, 1, 1, 1, 3, 1]"
69,1997,"['United Kingdom', 'Canada', 'United States', 'Germany', 'Brazil', 'Peru', 'Netherlands', 'Belgium', 'Iran', 'Australia', 'Japan', 'Hong Kong', 'Denmark', 'Sweden', 'France', 'Italy', 'Spain', 'New Zealand', 'Switzerland', 'China']","[12, 6, 116, 8, 2, 1, 1, 1, 1, 3, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1]"
70,1998,"['United States', 'United Kingdom', 'Australia', 'Canada', 'Brazil', 'Germany', 'India', 'Denmark', 'France', 'New Zealand', 'Spain', 'Japan', 'Aruba', 'Hong Kong', 'Italy', 'Argentina', 'Sweden', 'Mexico']","[129, 14, 3, 11, 1, 6, 3, 2, 7, 3, 2, 2, 1, 2, 2, 1, 1, 1]"
71,1999,"['United States', 'Canada', 'United Kingdom', 'Australia', 'Germany', 'Ireland', 'Malaysia', 'Mexico', 'France', 'Japan', 'Hungary', 'Spain', 'Czech Republic', 'Italy', 'Portugal', 'Luxembourg']","[172, 11, 20, 6, 8, 2, 1, 3, 6, 1, 1, 2, 1, 1, 1, 1]"
72,2000,"['United States', 'United Kingdom', 'Norway', 'Sweden', 'Canada', 'Mexico', 'Germany', 'France', 'Japan', 'Argentina', 'Denmark', 'Finland', 'Iceland', 'Italy', 'Netherlands', 'India', 'Australia', 'Spain', 'Hong Kong', 'Switzerland', 'Egypt', 'Iran', 'New Zealand', 'Pakistan', 'Indonesia']","[168, 20, 2, 2, 9, 1, 22, 10, 5, 2, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
73,2001,"['Germany', 'Austria', 'Hungary', 'United States', 'Canada', 'France', 'India', 'Switzerland', 'United Kingdom', 'Ireland', 'Australia', 'Norway', 'Japan', 'Italy', 'Czech Republic', 'Spain', 'China', 'Hong Kong', 'Thailand', 'New Zealand', 'Mexico', 'Luxembourg']","[22, 1, 1, 192, 12, 11, 3, 2, 23, 3, 8, 1, 5, 4, 1, 3, 1, 1, 1, 1, 3, 1]"
74,2002,"['United Kingdom', 'France', 'Italy', 'United States', 'Australia', 'Germany', 'Romania', 'Canada', 'India', 'Ireland', 'Brazil', 'Spain', 'Luxembourg', 'Switzerland', 'Mexico', 'Argentina', 'Hong Kong', 'China', 'Denmark', 'Sweden', 'Japan', 'Czech Republic', 'Netherlands', 'New Zealand', 'Poland', 'Belgium', 'United Arab Emirates']","[28, 18, 5, 204, 10, 32, 1, 17, 3, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
75,2003,"['Canada', 'Germany', 'United Kingdom', 'Netherlands', 'France', 'United States', 'Italy', 'Romania', 'Australia', 'Luxembourg', 'Spain', 'Japan', 'India', 'South Korea', 'Afghanistan', 'Ireland', 'Hong Kong', 'New Zealand', 'Czech Republic', 'Russia', 'Belgium', 'Bhutan', 'Hungary']","[21, 22, 26, 2, 13, 173, 4, 1, 11, 1, 3, 5, 1, 2, 1, 3, 2, 3, 1, 1, 1, 1, 1]"
76,2004,"['Germany', 'Hong Kong', 'China', 'France', 'Italy', 'United States', 'Canada', 'Netherlands', 'United Kingdom', 'Ireland', 'Sweden', 'Czech Republic', 'Austria', 'Luxembourg', 'Guyana', 'Morocco', 'South Africa', 'Japan', 'Belgium', 'Argentina', 'Ecuador', 'Colombia', 'Finland', 'Russia', 'Romania', 'South Korea', 'Spain', 'Switzerland', 'Australia', 'Malta', 'India']","[34, 4, 4, 20, 7, 193, 15, 3, 44, 5, 1, 3, 1, 2, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1]"
77,2005,"['United Kingdom', 'Canada', 'Germany', 'Czech Republic', 'United States', 'France', 'Australia', 'India', 'Denmark', 'Belgium', 'Italy', 'Netherlands', 'South Africa', 'Hungary', 'Israel', 'China', 'Japan', 'Norway', 'Romania', 'New Zealand', 'Morocco', 'Spain', 'Sweden', 'Ireland', 'Luxembourg', 'Russia', 'Kazakhstan', 'Cameroon', 'South Korea', 'Qatar', 'Syria', 'Brazil', 'Nigeria', 'Mexico', 'Egypt', 'Thailand', 'Switzerland']","[45, 18, 37, 6, 209, 24, 4, 2, 4, 2, 3, 2, 4, 1, 1, 4, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]"
78,2006,"['United States', 'Germany', 'Spain', 'Australia', 'France', 'Mexico', 'Japan', 'United Kingdom', 'Netherlands', 'Canada', 'India', 'Kazakhstan', 'Czech Republic', 'Bahamas', 'Italy', 'South Africa', 'China', 'Hong Kong', 'Switzerland', 'Hungary', 'Slovakia', 'Jamaica', 'Dominica', 'Luxembourg', 'Israel', 'Malta', 'Ireland', 'Belgium', 'Poland', 'Turkey']","[233, 28, 6, 6, 21, 6, 6, 43, 1, 10, 6, 1, 4, 2, 3, 2, 4, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,2007,"['Spain', 'United Kingdom', 'United States', 'New Zealand', 'Canada', 'France', 'Pakistan', 'Sweden', 'Ireland', 'Romania', 'Germany', 'India', 'Lebanon', 'Japan', 'Australia', 'South Korea', 'Brazil', 'Austria', 'Italy', 'Belgium', 'South Africa', 'Czech Republic', 'Russia', 'Kazakhstan', 'China', 'Hong Kong', 'Iceland', 'Bosnia and Herzegovina', 'Tunisia', 'Mexico', 'Luxembourg']","[5, 39, 187, 2, 17, 15, 1, 1, 4, 1, 14, 5, 1, 1, 6, 1, 1, 1, 4, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1]"
80,2008,"['United States', 'Germany', 'Israel', 'Belgium', 'France', 'Italy', 'Spain', 'Australia', 'United Kingdom', 'Czech Republic', 'Hungary', 'Slovakia', 'Mexico', 'Brazil', 'Canada', 'Japan', 'Hong Kong', 'Bahamas', 'South Africa', 'Denmark', 'Finland', 'Norway', 'Sweden', 'Russia', 'China', 'Romania', 'Thailand', 'India', 'Poland', 'Slovenia', 'South Korea', 'Lithuania', 'Netherlands']","[229, 33, 2, 2, 14, 2, 4, 7, 44, 5, 1, 1, 3, 1, 15, 3, 2, 1, 2, 2, 1, 1, 1, 2, 6, 1, 2, 4, 1, 1, 1, 1, 1]"
81,2009,"['Spain', 'United States', 'Canada', 'United Kingdom', 'France', 'Ireland', 'Israel', 'Germany', 'Italy', 'Hong Kong', 'Japan', 'China', 'Australia', 'India', 'Switzerland', 'Belgium', 'Norway', 'South Africa', 'New Zealand', 'Greece', 'Netherlands', 'Czech Republic', 'Denmark', 'Monaco', 'United Arab Emirates', 'Iceland', 'Russia', 'Argentina', 'Austria', 'South Korea']","[7, 240, 27, 45, 27, 5, 1, 26, 9, 4, 2, 3, 8, 6, 2, 3, 1, 2, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1]"
82,2010,"['United Kingdom', 'France', 'Belgium', 'United States', 'India', 'Germany', 'Canada', 'Italy', 'Australia', 'Mexico', 'Spain', 'Denmark', 'Sweden', 'United Arab Emirates', 'Romania', 'Ireland', 'China', 'Taiwan', 'Hong Kong', 'Angola', 'Japan', 'Russia', 'Bulgaria', 'Hungary', 'New Zealand', 'South Korea', 'Norway']","[35, 25, 1, 234, 4, 10, 13, 3, 8, 2, 6, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 3, 1, 1]"
83,2011,"['China', 'Hong Kong', 'United States', 'Germany', 'Canada', 'Switzerland', 'United Kingdom', 'France', 'Iran', 'Ireland', 'Spain', 'Bolivia', 'Poland', 'United Arab Emirates', 'Italy', 'Serbia and Montenegro', 'Argentina', 'India', 'Guadaloupe', 'Mexico', 'Australia', 'Norway', 'Japan', 'Finland', 'Denmark', 'Sweden', 'Czech Republic', 'Hungary', 'Thailand', 'Costa Rica', 'Brazil', 'New Zealand', 'Belgium', 'Russia', 'Netherlands', 'Indonesia', 'Austria']","[5, 3, 237, 13, 16, 1, 35, 27, 2, 3, 6, 1, 1, 6, 2, 1, 1, 5, 1, 1, 5, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 4, 1, 1, 1, 1]"
84,2012,"['United States', 'France', 'Austria', 'Germany', 'United Kingdom', 'Canada', 'Singapore', 'Australia', 'Nigeria', 'Mexico', 'Hong Kong', 'South Africa', 'India', 'Denmark', 'Dominican Republic', 'Belgium', 'Luxembourg', 'Ireland', 'Taiwan', 'China', 'Brazil', 'United Arab Emirates', 'Spain', 'Japan', 'Norway', 'Bulgaria', 'New Zealand', 'Sweden', 'Thailand', 'Hungary', 'Serbia', 'Russia', 'Italy']","[211, 13, 1, 6, 28, 15, 2, 2, 1, 2, 3, 4, 4, 3, 1, 1, 1, 2, 1, 3, 1, 1, 6, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]"
85,2013,"['Japan', 'United States', 'United Kingdom', 'Canada', 'India', 'Australia', 'France', 'New Zealand', 'Germany', 'Greece', 'Cyprus', 'Jordan', 'Switzerland', 'Mexico', 'Italy', 'Poland', 'Romania', 'Hong Kong', 'China', 'Brazil', 'Bulgaria', 'Russia', 'Denmark', 'South Africa', 'Spain', 'Norway', 'Iceland', 'Sweden', 'Thailand', 'United Arab Emirates', 'South Korea', 'Czech Republic', 'Belgium', 'Ireland', 'Egypt', 'Argentina', 'Malta']","[3, 223, 26, 14, 6, 9, 22, 2, 6, 1, 1, 1, 2, 5, 3, 2, 1, 4, 7, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1]"
86,2014,"['United States', 'France', 'Serbia', 'United Arab Emirates', 'United Kingdom', 'Germany', 'Australia', 'Spain', 'India', 'Canada', 'Luxembourg', 'Bulgaria', 'Armenia', 'Japan', 'Jordan', 'Mexico', 'Mongolia', 'New Zealand', 'Philippines', 'South Africa', 'Sweden', 'Uruguay', 'China', 'Morocco', 'Romania', 'Bahamas', 'Belgium', 'Czech Republic', 'Russia', 'Ukraine', 'Brazil', 'Italy', 'Switzerland', 'Argentina', 'South Korea', 'Hong Kong', 'Norway', 'Ireland', 'Bermuda', 'Ecuador', 'Colombia', 'Kyrgyz Republic', 'Thailand', 'Kenya', 'Chile']","[259, 25, 1, 3, 39, 7, 5, 9, 6, 22, 1, 2, 1, 3, 1, 3, 1, 3, 2, 2, 2, 1, 9, 1, 1, 1, 2, 1, 3, 1, 3, 2, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1]"
87,2015,"['Japan', 'United States', 'Denmark', 'Hong Kong', 'China', 'New Zealand', 'India', 'France', 'United Kingdom', 'Canada', 'Germany', 'Ireland', 'Malta', 'Israel', 'South Africa', 'Mexico', 'Italy', 'Czech Republic', 'Romania', 'Australia', 'Malaysia', 'Spain', 'Iceland', 'Belgium', 'Nigeria', 'Austria', 'Slovenia', 'Pakistan', 'Cambodia', 'Switzerland', 'Thailand', 'Russia', 'South Korea', 'Chile', 'Colombia', 'Algeria', 'Taiwan', 'Brazil', 'Monaco', 'Ukraine']","[2, 247, 1, 6, 8, 5, 6, 17, 31, 20, 8, 4, 1, 1, 2, 4, 5, 1, 2, 11, 1, 8, 1, 7, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1]"
88,2016,"['United States', 'India', 'Malta', 'Morocco', 'Germany', 'Spain', 'Mexico', 'France', 'South Korea', 'Japan', 'Netherlands', 'Denmark', 'South Africa', 'United Kingdom', 'Argentina', 'Canada', 'Peru', 'Belgium', 'New Zealand', 'China', 'Brazil', 'Zimbabwe', 'Qatar', 'Pakistan', 'Norway', 'Greece', 'Australia', 'Panama', 'Ireland', 'Hong Kong', 'Bulgaria', 'Chile', 'Nigeria', 'Israel', 'Hungary', 'Sweden', 'Kazakhstan', 'Finland', 'Austria', 'Indonesia', 'Italy', 'Croatia', 'Slovenia', 'Serbia', 'Montenegro', 'United Arab Emirates', 'Jordan']","[246, 17, 1, 1, 13, 13, 9, 20, 3, 8, 7, 8, 2, 51, 3, 28, 3, 5, 2, 10, 1, 1, 1, 1, 3, 4, 7, 1, 2, 5, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
89,2017,"['United States', 'Japan', 'France', 'Portugal', 'Spain', 'India', 'South Korea', 'Canada', 'Australia', 'Germany', 'United Kingdom', 'Singapore', 'Mexico', 'Bulgaria', 'Sweden', 'Brazil', 'Netherlands', 'Colombia', 'Austria', 'Belgium', 'Turkey', 'Saudi Arabia', 'New Zealand', 'Denmark', 'Vietnam', 'Argentina', 'Jordan', 'Ireland', 'Iceland', 'Russia', 'China', 'Norway', 'Sri Lanka', 'Poland', 'Switzerland', 'Czech Republic', 'South Africa', 'Finland', 'Latvia', 'Venezuela', 'Cambodia', 'Chile', 'Italy', 'Israel', 'Nicaragua', 'Thailand', 'Hong Kong', 'United Arab Emirates', 'Indonesia', 'West Germany', 'Pakistan', 'Senegal', 'Lebanon', 'Qatar', 'Malaysia', 'Nepal', 'Greece', 'Samoa', 'Morocco', 'Georgia', 'Uruguay', 'Soviet Union', 'Slovakia', 'Lithuania', 'Afghanistan', 'Peru', 'Panama', 'Nigeria', 'Romania', 'Iran']","[354, 19, 46, 1, 36, 147, 11, 48, 13, 28, 81, 1, 22, 1, 10, 15, 8, 1, 2, 18, 17, 1, 2, 5, 1, 14, 2, 6, 1, 3, 15, 5, 1, 1, 4, 3, 3, 1, 1, 2, 2, 5, 11, 5, 1, 2, 6, 4, 1, 1, 5, 1, 2, 3, 5, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
90,2018,"['United Kingdom', 'Egypt', 'France', 'India', 'South Korea', 'United States', 'Spain', 'Norway', 'Iceland', 'Singapore', 'South Africa', 'China', 'Italy', 'Indonesia', 'New Zealand', 'Hong Kong', 'Brazil', 'Germany', 'Sweden', 'Argentina', 'Poland', 'Denmark', 'Uruguay', 'Canada', 'Turkey', 'Bulgaria', 'Chile', 'Japan', 'Colombia', 'Australia', 'Soviet Union', 'Ireland', 'Netherlands', 'United Arab Emirates', 'Thailand', 'Belgium', 'Pakistan', 'Iran', 'Philippines', 'Qatar', 'Israel', 'Finland', 'Mexico', 'Bangladesh', 'Luxembourg', 'Vietnam', 'Malaysia', 'Russia', 'Serbia', 'Morocco', 'Switzerland', 'Albania', 'Croatia', 'Cayman Islands', 'Nigeria', 'Romania', 'Peru', 'Dominican Republic', 'Cambodia', 'Portugal', 'Hungary', 'Jordan', 'Czech Republic', 'Austria', 'Iraq', 'Venezuela', 'Taiwan', 'Greece', 'Somalia', 'Kenya', 'Sudan', 'Slovenia', 'Georgia', 'Namibia', 'Zimbabwe', 'Uganda']","[95, 1, 50, 327, 13, 447, 37, 5, 4, 7, 11, 32, 13, 27, 3, 50, 13, 31, 10, 21, 7, 13, 1, 56, 4, 4, 9, 12, 9, 28, 1, 10, 11, 4, 23, 16, 5, 2, 5, 2, 5, 3, 20, 1, 3, 2, 2, 3, 3, 4, 4, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
91,2019,"['Canada', 'Egypt', 'Austria', 'United States', 'South Africa', 'Nigeria', 'Hong Kong', 'China', 'Singapore', 'India', 'Indonesia', 'Denmark', 'France', 'Poland', 'Spain', 'Pakistan', 'Mexico', 'Australia', 'Hungary', 'United Kingdom', 'Philippines', 'Japan', 'Israel', 'Uruguay', 'Italy', 'Germany', 'South Korea', 'Iceland', 'Sweden', 'Belgium', 'Senegal', 'Thailand', 'Finland', 'Russia', 'Argentina', 'United Arab Emirates', 'Turkey', 'Brazil', 'Taiwan', 'Netherlands', 'Tanzania', 'Panama', 'Ireland', 'Chile', 'Colombia', 'Peru', 'Vietnam', 'Guatemala', 'Malaysia', 'Angola', 'Botswana', 'Namibia', 'Bangladesh', 'Norway', 'West Germany', 'New Zealand', 'Cambodia', 'Kazakhstan', 'Syria', 'Iran', 'Switzerland', 'Portugal', 'Luxembourg', 'Czech Republic', 'Vatican City', 'Ghana', 'Morocco', 'Malawi', 'Romania', 'Greece', 'Paraguay', 'Bulgaria', 'Iraq']","[88, 45, 3, 1065, 6, 27, 19, 27, 8, 199, 18, 12, 52, 13, 36, 8, 20, 24, 3, 133, 38, 30, 5, 3, 15, 27, 16, 1, 12, 17, 1, 8, 3, 2, 8, 5, 14, 12, 9, 5, 1, 1, 2, 2, 5, 2, 1, 1, 7, 1, 1, 1, 1, 4, 1, 6, 1, 1, 1, 1, 5, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1]"
92,2020,"['United Kingdom', 'South Korea', 'Italy', 'Canada', 'Indonesia', 'Egypt', 'United States', 'France', 'Germany', 'Australia', 'Poland', 'Japan', 'Kenya', 'Nigeria', 'Romania', 'China', 'Turkey', 'Taiwan', 'Argentina', 'Belgium', 'Ireland', 'India', 'Philippines', 'Israel', 'Hong Kong', 'Iceland', 'Spain', 'United Arab Emirates', 'Brazil', 'Uruguay', 'Mexico', 'Algeria', 'South Africa', 'Malaysia', 'Serbia', 'Colombia', 'Singapore', 'Czech Republic', 'Switzerland', 'Ghana', 'Netherlands', 'Namibia', 'Lebanon', 'Denmark', 'Luxembourg', 'New Zealand', 'Kuwait', 'Norway', 'Zimbabwe', 'Hungary', 'Sweden', 'Jordan', 'Saudi Arabia', 'Cambodia', 'Thailand', 'Russia', 'Chile', 'Austria', 'Venezuela', 'Montenegro', 'Ukraine', 'Botswana', 'Mozambique', 'Peru', 'Angola', 'French Polynesia', 'Pakistan', 'Vietnam', 'Jamaica', 'Finland', 'Greece', 'Afghanistan', 'Tunisia', 'Bulgaria']","[125, 15, 19, 93, 26, 48, 732, 75, 39, 25, 9, 43, 4, 35, 6, 17, 25, 6, 12, 21, 10, 174, 29, 2, 6, 3, 24, 19, 12, 4, 17, 2, 18, 5, 2, 5, 2, 2, 5, 2, 9, 1, 17, 6, 4, 4, 4, 8, 1, 3, 10, 2, 7, 1, 5, 3, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
93,2021,"['Nigeria', 'Romania', 'Indonesia', 'United States', 'France', 'India', 'Italy', 'Netherlands', 'Singapore', 'United Kingdom', 'Spain', 'Australia', 'China', 'Argentina', 'Mexico', 'Poland', 'Switzerland', 'Canada', 'Turkey', 'Germany', 'Japan', 'Egypt', 'Norway', 'Ireland', 'Lebanon', 'Syria', 'Kuwait', 'Brazil', 'Greece', 'Belgium', 'United Arab Emirates', 'Qatar', 'Bulgaria', 'Vietnam', 'Cayman Islands', 'Taiwan', 'Denmark', 'New Zealand', 'Sweden', 'Russia', 'Thailand', 'Colombia', 'Bangladesh', 'Hong Kong', '', 'Algeria', 'Philippines', 'Portugal', 'Chile', 'South Africa', 'Palestine', 'Czech Republic', 'Israel', 'Mauritius', 'Kenya', 'South Korea', 'Austria', 'Hungary', 'Nepal', 'Uruguay', 'Malaysia', 'Ghana', 'Burkina Faso', 'Ethiopia', 'Cameroon', 'Saudi Arabia', 'Cambodia']","[26, 4, 12, 377, 33, 86, 7, 4, 2, 77, 19, 10, 15, 7, 8, 4, 2, 47, 22, 18, 24, 5, 1, 7, 5, 2, 1, 9, 1, 6, 3, 3, 2, 2, 1, 4, 4, 1, 3, 2, 4, 3, 1, 5, 1, 1, 3, 2, 2, 7, 1, 3, 2, 1, 1, 7, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
